RF_ID,Indicator,Oregon_Evidentiary_Status,Basis
RF-01,Rapid provider/facility growth,"Publicly Testable, Not Completed",A license-issuance-date field exists in principle in Oregon's licensing system; no growth series was constructed in this single-snapshot replication
RF-02,Spending growth disconnected from beneficiary growth,Contextually Assessed,Statewide OHP enrollment and recovery figures (Section 6.3); no facility- or county-level spending series available publicly
RF-03,Multi-entity/multi-facility operator concentration,Partially Operationalized,Shared-contact multi-license proxy computed for all 792 facilities (Section 4.4); common operational control was not independently corroborated
RF-04,Geographic concentration or out-of-state operator,"Publicly Testable, Not Completed",Oregon Secretary of State business-registry cross-check exists as a public source; not performed in this replication
RF-05,Incomplete administrative or enrollment data,Partially Operationalized,"Public-record field completeness was measured directly (Section 4.5, zero unexplained nulls); confidential enrollment-file completeness is Internal Data Required"
RF-06,Excluded party involvement or linkage gap,"Publicly Testable, Not Completed",The HHS-OIG exclusions database and Oregon sanction records are public; the name-to-licensee cross-match was not performed in this replication
RF-07,Concealed or opaque ownership / related-party control,"Publicly Testable, Not Completed","Oregon licensing records, the Oregon business registry, and CMS ownership disclosures are public and partially testable; full beneficial-ownership validation requires internal data"
RF-08,"Shared address, phone, or network (network-cluster threshold)","Operationalized, recalibrated",Computed for all 792 facilities; Washington's numeric threshold required facility-type-aware recalibration (Section 5)
RF-09,"Phantom, mailbox, or questionable address",Contextually Assessed,"All four Oregon facility types require a licensed, inspected physical premises, structurally limiting this risk as in Washington"
RF-10,Impossible hours or overlapping services,Internal Data Required,Requires Oregon Health Authority claims data
RF-11,Maximum-unit or implausible service-volume billing,Internal Data Required,Requires Oregon Health Authority claims data
RF-12,Out-of-state or impossible-location billing,Case Supported,The Clackamas County matter (Section 6.1): official record establishes billing tied to a licensed address left vacant while residents were housed at an unauthorized location
RF-13,"Billing after death, absence, discharge, or ineligibility",Internal Data Required,"No matter in this study's record establishes billing specifically timed to death, absence, discharge, or ineligibility; requires claims data"
RF-14,"Cloned, missing, or fabricated documentation",Case Supported,"The Washington County matter (Section 6.1): official allegation explicitly states falsified claim documentation; case support here is allegation-level, not adjudicated"
RF-15,Stolen credentials or unauthorized professional IDs,Not Established,No Oregon case or specific public source identified in this replication maps to this construct
RF-16,Frontline referrals not acted upon or poorly triaged,System Supported,"Both 2025 SOQ evaluations: complaint-investigation backlog exceeding 4,000 cases (Section 6.2)"
RF-17,"Payment holds, restrictions, suspensions, enhanced oversight, sanctions, exclusions, or enforcement history",Partially Operationalized,"Regulatory-action, condition, and civil-fine counts computed for all facilities; public enhanced-oversight designations (ORS 443.436) and the exclusion-list cross-match (RF-06 gap) were not incorporated"
RF-18,Reactive oversight and insufficient capacity,System Supported,"Both 2025 SOQ evaluations: 8% survey-timeliness compliance (CBC), 4.3% (NF), documented understaffing and backlog (Section 6.2)"
RF-19,Program design vulnerability,Contextually Assessed,"Physical-licensing requirement narrows low-barrier-entry risk, as in Washington; SOQ evaluations separately note overlapping and ambiguous statutory mandates"
RF-20,Unresolved audit findings or weak corrective-action follow-through,System Supported,"Finding, corrective response, and implementation milestone are documented; outcome of the year-long structural rebuild remains an open question (Section 6.2)"
